spotify_id,name,followers,popularity,genres,chart_hits
0IyFf7sJynolp1a7Ck79u9,William J. Kirkpatrick,149.0,20,[],
32nsebwNb2VUtO5jng3tRy,Simon LeSaint,3.0,1,[],
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,5005500.0,71,"['blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']","['us (1)', 'gb (1)', 'ar (3)', 'be (1)', 'br (2)', 'ca (1)', 'cl (2)', 'fr (1)', 'ie (1)', 'it (1)', 'mx (2)', 'nl (1)', 'pe (2)', 'pl (1)', 'pt (1)', 'ch (1)', 'tr (1)']"
0Rt1pqbZ2uBlOEXl0izcxb,Chiara Ferragni,5625.0,38,[],
3g5gwhWAPLq8MyUcUIsA8j,Alfie Boe,42413.0,42,['operatic pop'],
45nJ2GweSs0s4gWVGHLhYu,Paola Navarrete,13524.0,29,"['ecuadorian indie', 'ecuadorian pop']",
4yurOtgqbRg4CSsHcZt8r9,Kenna,36.0,24,[],
00pVr8w7UlU25TNJSfH4Vz,艷薇,254.0,2,[],
2VSRhqonKsL7KRAIk8SMmt,Daniela Spalla,115852.0,58,"['indie cordoba', 'latin rock', 'mexican indie']",
1PcWAfzz0pTRP7GxaBDvo4,Kitok,6058.0,30,['norrlandsk hip hop'],['se (1)']
4Iahu1gr6JTMb4ZD1nyTR5,MC Darlan,1409.0,23,[],
0YiXSP1Y0nDFWX95bMwMWb,hidemiyabi,91.0,32,[],
1izB1ZuPe2RH7Bhz49eXWW,GOLD RVSH,425.0,36,[],
0xpMy6DeMBWX8zTURxB4h5,Los Iracundos,577737.0,55,"['bolero', 'latin pop', 'pop romantico']",
6p2OJnQ2LD6Yp58rUULMle,Kid Vincent,584.0,38,[],
5qcmkGlp3BbjQTGthwf6Yc,Spike Lee,455.0,8,[],
2TWHocCVJZ4bcx41yQghqq,Makanan,703.0,21,[],
7FswJmdyWj3EDih6VoJm4O,BITMORE,199.0,6,['deep groove house'],
69tvRauKiBK9OghmlzkUAF,Xara,118.0,24,[],
6rWk96JkPOxJh0jPHdOW9Y,Dilinyer,3221.0,19,['trap venezolano'],
5GdQhBnEhQv1kB4Q5ziKwl,Ñejo,0.0,0,[],
6ehOjA4MWRhh7RHDxd8d12,Dj Habias,5227.0,21,['kuduro'],
1p9IEVolgFCEjlFwEGTjPG,El Doctor,13356.0,38,['rap underground argentino'],
0XN0BwwMOljZhMDy4TLPTB,Nicole Omillo,1705.0,21,['opm'],
0kQ5m9SiVtFUnBBWa83YXh,Ge Korsten,15077.0,27,['afrikaans'],
7AANfmLM36QqH6QsOQnV3h,Nigel Kennedy,41966.0,50,"['bow pop', 'violin']",
7xwtpo11n9GHMFZUg2kLJK,Michael Hoppé,10015.0,45,['new age'],
0j7X7U7RfswaEKkPPM49Ig,Plamen & Ivo,2339.0,5,['bulgarian pop'],['bg (1)']
5xCiv3rwdrUpZfFf3YejaP,Laila Karam,2.0,2,[],
5jB2XnevZCCoJRAJMX4KXD,Luntti,1931.0,31,"['finnish dance pop', 'finnish hip hop']",['fi (1)']
2Tb8d26VAe1NE7QmrISbvc,MC Celinho,26.0,15,[],
4XGtPTmoSeGUqnQ5yehCLQ,Noel Shajris,2448.0,15,[],
3gxXj02dUFon6nrGNr4AhE,Gerd Türk,447.0,32,['classical tenor'],
4RoXkwfKbJXcq4u9rNtBUx,Young Caris,1563.0,11,['reggaeton chileno'],
56qz99ZxdG87x2AtA8qSht,The Loveband,29.0,8,[],
0pOtP6jMG4IXacNYJIGTAe,Bảo Yến,40844.0,28,"['vietnamese bolero', 'vietnamese pop']",
6mA4csYsYvf4Mq02PleZEV,20syl,113352.0,47,"['popping', 'vapor twitch']",['fr (1)']
3qY7CCtpMqsBldFnoxgz5s,Jost Klein@acoustic-artworx studio,0.0,0,[],
27Od4Wz93nItXglC5t5GuC,Ravenna Golden,11416.0,36,['hyperpop'],
062DMIcrHHoIsY63m9G1TB,Hoa Cẩm Tiên,0.0,0,[],
2Wz0ACbQf2DBTgZ5PHHPoW,twotom land,0.0,5,[],
0vulgNm5OjjqnbXpgL68BD,NANA LE VRAI,4.0,7,[],
5QiwunZvKwcfzAKQGxtR2h,Mons Taka,81.0,0,[],['ua (1)']
6Tq9hqzcBJQ71aRDdPUZ1Y,K-Drian,470.0,12,[],
23QiUDhZI1asndJml1wpfV,Andrea Damante,57559.0,13,[],
6S4hNHWgI8zbxr3RO1m8M5,Petra Creutzberg,5.0,0,[],
29yBVWHTVkwU0SuChujlIo,ArtosCsaba,41.0,1,[],
0u6b6Qa5VJEvr3SgzzeVOB,Do Or Die,353021.0,47,"['chicago rap', 'gangster rap', 'southern hip hop', 'trap']",
7eILNypimEzxxfnMqKQTZ2,Freyja,141.0,13,[],
0Lwn2PjwIw7QaoN7gHyqCA,Wolf Saga,4126.0,29,"['canadian electropop', 'london on indie']",
1cwNKCIuq12wLqAAsC1Zyi,Jevon,15159.0,37,"['uk alternative hip hop', 'uk contemporary r&b']",
40jiZfvsiAi1aIarh5Z3d3,TNGHT,34942.0,38,['electronic trap'],
4tz0kHgeHJbLIKEwwPTD7k,Laura Whiteside,463.0,29,[],
1x2kGgb9q6g6ZNFWeb3HaO,Tiara Waheb,0.0,1,[],
6DTpmzMa0Gz93kRKUo4JfQ,Elh Kmer,29234.0,49,"['french hip hop', 'pop urbaine', 'rap francais']",
43gmvBpHS4rHUZ1PANytWQ,Tata Vlad,806.0,39,[],
75QGJWUR1GaWNKYNTxmciu,Reddy A,132.0,33,[],
0s5MMDYKWYf4XksClf5Oiq,CalliCartel,176.0,62,[],
1sxiKbkqpATz4DuDZ3PmfX,Richard Biller,80.0,7,[],
6KPFkD54O00IXZdAhIjvyl,Rasco of Cali Agents,23.0,0,[],
5KAcf5cNRnfw6HmO9DEiqD,Björn Schmelzer,297.0,16,[],
2bEeaSG5gZ9beyGIn55Mp0,Berry,1684.0,39,[],['hu (2)']
17Jo4zKAi0rEfTfRtdRlCu,Torbellino La Malicia,5.0,0,[],
2ArmMglC2vY2DXrJ6z7KjP,Sam Kul,267.0,27,[],
0LikRZIcLgKr4L7a37xpmx,Harjit Harman,302274.0,49,"['bhangra', 'punjabi pop']",
5BRogHmYy7S0zWytFCVCBn,Amerikas Adiction,3.0,0,[],
3ORYaWvlW5XpTBZQe6iBRy,AEYEM,144.0,14,[],
2Hr32otWLFvhoH0A66Q7kj,Danman,1781.0,25,[],
3FIvb7JzOKq9nVPtts6OUk,K-Rak,4657.0,12,['trap venezolano'],
7iVJlObFxw4whBafRaH8GG,Rauf,652.0,14,[],
1Yfe3ONJlioHys7jwHdfVm,Lomepal,1580448.0,74,"['french hip hop', 'rap conscient']","['be (25)', 'fr (28)', 'lu (2)', 'ch (18)']"
42XkY8N7NwjE3y86AoXq8Q,Hawkk,3.0,0,[],
26pmDXHBN3vb9aiG8EWVc3,KEPHA,1916.0,19,['japanese trap'],
5GrtDTdr47LJkY2URoBhfM,Nils Davidse,101.0,10,[],
6UYqtBD79GpmqjttbzV6iA,Somi,24296.0,33,['contemporary vocal jazz'],
1TSyeWrgN2Yno5NymmC0FX,Vice City,1.0,9,[],
1FnhLNGE4OOmupXsdKIRpk,古家峯,311.0,5,['hong kong tv drama'],
2FhtACuHs79XPRWzYqLvxn,Lukku Láki,530.0,9,['icelandic hip hop'],['is (8)']
223J9i9V3Y6ZBY8L7CfKrp,M.L. Shruti,119.0,24,[],
7axpCYU6YisPgZQXYzNzis,Ramy Essam,34164.0,32,"['arab alternative', 'egyptian alternative']","['eg (1)', 'sa (1)']"
0B0G7vu108MlrCkqGWY1cW,Ana Müller,0.0,8,[],
3zSBceBZc5mWylSA7iiVNY,Dj Tht,3401.0,29,['hands up'],
4cFJzREymbjXas09arEp5o,Grupo Corporacion,1560.0,36,[],
6MTgPGDAhnSa3d7LRlwKlG,Nestor Rivera,0.0,4,[],
4ph6JucAkc6pnPPad0uiJT,Ted Park,23301.0,37,"['k-rap', 'korean r&b']",
2hUf1IDz9kSpRE8j3lr8UR,Sebastian,3.0,7,[],
3Zm2tSqXV4MXZxWw9apvpX,Ant Brooks,1783.0,14,['funky tech house'],
7pSK0RW99FutibfAAbnce4,Enrico Persico,0.0,0,[],
7jwE5FqGmCoX2l5HYaLfkP,SASUKE,12692.0,24,['japanese dance pop'],
6SLFgb1SlDvGfX0WAZSHDc,Ed Thomas,1886.0,28,[],
2pAmbNN8mzxnBgYwZ4hSSo,MC Suh,9003.0,33,[],
1o3U32mkTRAYyFfxMneHE9,Wigor Mor W.A.,840.0,34,['rap uliczny'],
6aHnDyHyt0MazVl369OMo6,"Louis Towers ¨Papa Rasta""",0.0,0,[],
7LlnyPVZy0Tow7taOjxUIf,Grazzy,680.0,19,['magyar trap'],
4tSnHxvAJXTeoYz6ahtv4L,Junius Harv,0.0,0,[],
5LbVJOGWXuBoE90hQ8XgZk,Liam_SA,5.0,4,[],
7LiVklVR1325BIOqD9kykr,CLMD,31754.0,54,"['norwegian pop', 'pop dance', 'tropical house']","['dk (2)', 'fi (2)', 'no (17)', 'se (1)']"
6iYRN5eaz8LSxvwkhmwkRj,j mena,394007.0,45,['pop argentino'],"['ar (15)', 'py (1)', 'uy (15)']"
4XbegMt5bk2X8R6b8z0vaX,Karenn,16112.0,21,"['experimental techno', 'minimal dub', 'modular techno']",
2Rc4qWBk5s1acLV6DAsNqz,Helsingborgs Stråkkvartett,6.0,0,[],
3Udz5hxxTZn4V7HpeW02dY,Colette Marie,0.0,0,[],
2mPL4g4v9DS55zi6QctLbP,Teresa Brewer,29794.0,36,"['adult standards', 'deep adult standards']",['nl (1)']
1WWZAYN8d4n4iwjYALmmKB,Orchestra of the Age of Enlightenment,5994.0,47,"['baroque ensemble', 'british orchestra', 'choral', 'classical performance', 'historically informed performance', 'orchestra']",
1DHlmHnDCZSR8H9sNSJRHj,Vous,407.0,6,[],
6FPEQvwa3T1V9vYvMSUkHV,Jindrich Voboril,3.0,4,[],
6544ChP8IwDIu2o7z8SI3Z,Aiky,121.0,10,[],
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,1275410.0,67,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']","['us (1)', 'gb (2)', 'ar (1)', 'au (2)', 'at (4)', 'be (2)', 'bo (1)', 'br (2)', 'bg (3)', 'ca (3)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (3)', 'cz (3)', 'dk (13)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (3)', 'fi (5)', 'fr (1)', 'de (3)', 'gr (3)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (3)', 'is (2)', 'id (2)', 'ie (2)', 'it (1)', 'jp (1)', 'lv (3)', 'lt (5)', 'lu (3)', 'my (3)', 'mt (3)', 'mx (2)', 'nl (3)', 'nz (1)', 'ni (1)', 'no (9)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (2)', 'pl (3)', 'pt (1)', 'ro (1)', 'sg (3)', 'sk (3)', 'za (1)', 'es (1)', 'se (9)', 'ch (2)', 'tw (3)', 'th (1)', 'tr (1)', 'uy (1)']"
3ZcbVcd3fsf9qKK02UVzGB,Gary Barlow,317724.0,46,['europop'],"['gb (1)', 'ie (1)']"
6Nlyt1MUEBe1jN0h7F4hn0,INDEB,840.0,38,[],['pl (1)']
6pC3vnUgNVITdYMMXefi6D,WONHO,750492.0,52,['k-pop'],
65eHyQC0V8h38ia3dLKaRm,Lisa Howard,489.0,28,[],
27RDnBg509vYTzsaTpvINU,Unge Lovene,78.0,2,[],
5OCag6AhV8nLDbR2O3dE2F,Dj Victor SB,32.0,20,[],
2hkGkEnyudpE42IU4DBt99,Manuel Riva,13637.0,46,"['groove room', 'romanian electronic', 'romanian pop']",['bg (2)']
7mNDu6CyNEiydSdfvf84n8,Kike,127.0,14,[],
70iSdb118urLVyBB5NIkUG,Ívar Pétur,2.0,0,[],
5RngmQiJGRMuGiPr6H4ad3,Rubiera,682.0,22,[],
5ksD5XT78Q3JpED82u9rNO,DJ Smaaland,1144.0,21,['russelater'],['no (1)']
4iPxsvBV5arAXe6COki3Oy,Enderhax,768.0,5,['brazilian bass'],
79pkz4kQTE5mLWss4U0ozi,FEEL,4909.0,29,"['progressive trance', 'progressive uplifting trance', 'russian trance', 'uplifting trance']",
6R2AgShAYIEOkulvSSant5,筷子兄弟,4722.0,32,['chinese viral pop'],['tw (1)']
1DFUWlY3L58m9AsQYxKhyT,MC Kel,0.0,0,[],
4egkDqNQSTMGECeGfms1QS,Space,33.0,10,[],
4HVErsBJ9jnwH2qKSP47By,Jordan Morris,582.0,31,[],
0lmpSjaPzC8ChqeFQ6Z3VS,Hervé,5652.0,27,['fidget house'],
7py6xjf0DvCXSuNGttaM1y,Andreas Maid,0.0,0,[],
6Ky79VhTdV66DXQGaIp8ZE,дима бамберг,20.0,10,[],
1Ggh0Aj1EgYetcfz678COw,Detlef Kraus,281.0,7,[],
7KTls7DjPSokHZG4XF8GJb,Petter Dass,13.0,1,[],
